pid,survey.date,content,energy,lonely,refreshed,restful,sad,sleep,stress
18hwpo5x,2019-02-21,3.0,3.0,0.0,2.0,2.0,1.0,4.0,2.0
18hwpo5x,2019-02-22,3.0,2.0,0.0,2.0,3.0,0.0,3.0,2.0
18hwpo5x,2019-02-23,3.0,2.0,0.0,1.0,3.0,0.0,2.0,1.0
18hwpo5x,2019-02-24,3.0,3.0,0.0,2.0,3.0,0.0,4.0,1.0
18hwpo5x,2019-02-25,3.0,4.0,0.0,3.0,3.0,0.0,5.0,1.0
18hwpo5x,2019-02-26,3.0,3.0,0.0,2.0,2.0,0.0,6.0,1.0
18hwpo5x,2019-02-27,3.0,4.0,0.0,2.0,2.0,0.0,6.0,1.0
18hwpo5x,2019-02-28,3.0,3.0,0.0,3.0,3.0,0.0,5.0,1.0
18hwpo5x,2019-03-01,3.0,2.0,0.0,2.0,2.0,0.0,5.0,1.0
18hwpo5x,2019-03-02,3.0,2.0,0.0,1.0,2.0,0.0,5.0,1.0
18hwpo5x,2019-03-03,3.0,3.0,0.0,1.0,2.0,0.0,5.0,1.0
18hwpo5x,2019-03-04,3.0,3.0,0.0,2.0,3.0,0.0,5.0,1.0
18hwpo5x,2019-03-05,2.0,3.0,0.0,3.0,3.0,1.0,6.0,2.0
18hwpo5x,2019-03-06,3.0,3.0,0.0,2.0,3.0,0.0,3.0,2.0
18hwpo5x,2019-03-07,3.0,2.0,0.0,1.0,3.0,0.0,5.0,2.0
18hwpo5x,2019-03-08,2.0,2.0,1.0,1.0,3.0,1.0,3.0,2.0
18hwpo5x,2019-03-09,3.0,2.0,0.0,2.0,2.0,0.0,1.0,1.0
18hwpo5x,2019-03-10,2.0,2.0,0.0,1.0,3.0,1.0,3.0,2.0
18hwpo5x,2019-03-11,3.0,4.0,0.0,1.0,3.0,0.0,3.0,1.0
18hwpo5x,2019-03-12,2.0,4.0,1.0,2.0,2.0,1.0,4.0,3.0
